id,age,sex,edu,polviews_10,issue,type,opinion,mf,value
44,26,Female,7,5,abdefect,against,0,Harm,1
27,25,Male,3,5,abdefect,against,0,Harm,1
66,19,Male,3,5,abhlth,against,0,Harm,0
121,40,Male,6,6,abhlth,against,0,Harm,0
62,24,Male,4,8,abhlth,against,0,Harm,0
67,25,Female,3,5,abhlth,against,0,Harm,1
23,29,Female,3,4,abhlth,against,0,Harm,1
163,25,Male,6,7,abhlth,against,0,Harm,0
202,34,Male,8,1,abhlth,against,0,Harm,1
33,23,Female,4,6,abhlth,against,0,Harm,1
196,37,Male,7,8,abhlth,against,0,Harm,0
187,44,Male,6,5,abrape,against,0,Harm,1
37,26,Male,3,7,abrape,against,0,Harm,0
68,20,Male,4,8,abrape,against,0,Harm,0
67,25,Female,3,5,cappun,against,0,Harm,1
23,29,Female,3,4,cappun,against,0,Harm,0
110,28,Female,3,6,cappun,against,0,Harm,0
153,28,Female,7,6,cappun,against,0,Harm,0
126,27,Female,8,2,suicide1,against,0,Harm,0
22,42,Female,10,5,suicide1,against,0,Harm,0
24,34,Male,7,8,suicide1,against,0,Harm,0
158,26,Male,4,2,suicide1,against,0,Harm,1
105,26,Male,7,8,suicide1,against,0,Harm,1
93,26,Male,3,5,suicide1,against,0,Harm,0
135,26,Female,7,2,suicide1,against,0,Harm,0
217,23,Female,4,3,suicide1,against,0,Harm,0
28,25,Female,7,3,suicide1,against,0,Harm,0
65,26,Male,3,5,xmarsex,against,0,Harm,0
1,27,Female,7,8,colhomo,against,0,Harm,0
67,25,Female,3,5,colhomo,against,0,Harm,0
213,26,Female,4,3,colhomo,against,0,Harm,0
59,35,Female,4,8,colhomo,against,0,Harm,0
221,51,Female,7,7,colhomo,against,0,Harm,0
144,55,Female,8,10,colhomo,against,0,Harm,0
222,24,Male,3,7,colhomo,against,0,Harm,0
120,27,Female,7,5,colhomo,against,0,Harm,0
205,21,Female,3,5,colhomo,against,0,Harm,0
18,24,Female,4,5,grass,against,0,Harm,0
17,57,Female,7,8,grass,against,0,Harm,0
7,30,Female,7,4,grass,against,0,Harm,0
206,26,Male,4,2,grass,against,0,Harm,0
22,42,Female,10,5,grass,against,0,Harm,1
210,35,Female,8,7,grass,against,0,Harm,0
187,44,Male,6,5,grass,against,0,Harm,1
112,27,Male,4,6,grass,against,0,Harm,0
191,27,Female,3,5,grass,against,0,Harm,0
202,34,Male,8,1,grass,against,0,Harm,1
45,32,Female,8,5,grass,against,0,Harm,0
79,25,Male,7,6,grass,against,0,Harm,0
33,23,Female,4,6,grass,against,0,Harm,0
168,20,Female,7,5,grass,against,0,Harm,0
109,22,Female,3,2,grass,against,0,Harm,1
32,21,Male,3,3,grass,against,0,Harm,0
147,20,Male,2,5,spkmil,against,0,Harm,0
83,36,Male,7,8,spkmil,against,0,Harm,0
210,35,Female,8,7,spkmil,against,0,Harm,0
187,44,Male,6,5,spkmil,against,0,Harm,0
107,29,Male,7,6,spkmil,against,0,Harm,0
127,23,Female,3,6,spkmil,against,0,Harm,0
102,37,Female,8,7,spkmil,against,0,Harm,0
94,31,Female,8,5,spkmil,against,0,Harm,0
122,38,Male,7,8,spkmil,against,0,Harm,0
105,26,Male,7,8,spkmil,against,0,Harm,1
45,32,Female,8,5,spkmil,against,0,Harm,0
42,26,Male,4,3,spkmil,against,0,Harm,0
179,35,Female,7,9,spkmil,against,0,Harm,0
217,23,Female,4,3,spkmil,against,0,Harm,0
114,37,Female,8,3,spkmil,against,0,Harm,0
154,28,Male,4,2,spkmil,against,0,Harm,0
5,18,Male,3,7,spkmil,against,0,Harm,0
31,21,Female,4,7,libmil,against,0,Harm,0
79,25,Male,7,6,libmil,against,0,Harm,0
121,40,Male,6,6,obeylaw,against,0,Harm,0
8,27,Female,7,4,obeylaw,against,0,Harm,0
221,51,Female,7,7,obeylaw,against,0,Harm,0
109,22,Female,3,2,obeylaw,against,0,Harm,1
99,24,Female,7,0,twoincs1,against,0,Harm,0
129,36,Male,3,4,twoincs1,against,0,Harm,0
194,51,Female,4,4,twoincs1,against,0,Harm,0
209,24,Female,6,5,twoincs1,against,0,Harm,0
17,57,Female,7,8,wrldgovt,against,0,Harm,0
106,28,Male,7,6,wrldgovt,against,0,Harm,0
71,24,Male,2,5,wrldgovt,against,0,Harm,0
35,30,Male,8,6,wrldgovt,against,0,Harm,0
190,19,Male,4,3,wrldgovt,against,0,Harm,1
194,51,Female,4,4,wrldgovt,against,0,Harm,0
63,30,Male,4,4,wrldgovt,against,0,Harm,0
168,20,Female,7,5,wrldgovt,against,0,Harm,0
148,24,Male,4,6,wrldgovt,against,0,Harm,0
39,50,Female,10,8,amownway,against,0,Harm,0
83,36,Male,7,8,amownway,against,0,Harm,0
67,25,Female,3,5,amownway,against,0,Harm,1
127,23,Female,3,6,amownway,against,0,Harm,0
132,26,Female,7,7,amownway,against,0,Harm,0
105,26,Male,7,8,amownway,against,0,Harm,0
149,24,Male,3,7,amownway,against,0,Harm,0
44,26,Female,7,5,amownway,against,0,Harm,0
53,37,Female,2,8,forland,against,0,Harm,0
96,46,Female,8,2,amtv,against,0,Harm,0
72,22,Male,6,7,mincult,against,0,Harm,0
101,25,Male,2,7,mincult,against,0,Harm,0
2,20,Female,3,3,mincult,against,0,Harm,0
8,27,Female,7,4,mincult,against,0,Harm,0
191,27,Female,3,5,mincult,against,0,Harm,0
63,30,Male,4,4,mincult,against,0,Harm,0
45,32,Female,8,5,mincult,against,0,Harm,0
79,25,Male,7,6,mincult,against,0,Harm,0
215,29,Female,6,8,mincult,against,0,Harm,0
205,21,Female,3,5,mincult,against,0,Harm,0
27,25,Male,3,5,mincult,against,0,Harm,0
39,50,Female,10,8,abany,against,0,Harm,0
206,26,Male,4,2,abany,against,0,Harm,0
50,22,Male,7,4,abany,against,0,Harm,0
86,78,Male,8,6,abany,against,0,Harm,0
167,30,Male,7,3,abany,against,0,Harm,0
11,34,Female,7,2,abany,against,0,Harm,1
154,28,Male,4,2,abany,against,0,Harm,1
17,57,Female,7,8,absingle,against,0,Harm,0
